Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,Avg_VTAT,Avg_CTAT,Cancelled_Rides_by_Customer,Cancelled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Ride_Distance,Driver_Ratings,Customer_Ratings,Payment_Method
2026-01-18,13:18:50,CNR4498295728,Incomplete,CUS55006,Cab Premium,Khatipura,Murlipura,,,0,0,1,Customer Demand,109,,,,Net Banking
2026-01-12,20:27:56,CNR9239834693,Incomplete,CUS44076,Cab Economy,JLN Marg,Sanganer,,,0,0,1,Vehicle Breakdown,527,,,,Cash
2026-01-05,13:01:04,CNR4091463499,Incomplete,CUS14076,Bike,Patrakar Colony,Chandpole,,,0,0,1,Customer Demand,158,,,,Debit Card
2026-01-07,17:11:22,CNR8144515251,Cancelled by Driver,CUS79844,Auto,Jhotwara,Mansarovar,,,0,1,0,,473,,,,UPI
2026-01-04,14:18:22,CNR1819074324,Success,CUS24543,Cab XL,Bani Park,Ghat Gate,2.85,7.07,0,0,0,,797,4.91,4.04,3.89,UPI
2026-01-23,05:31:53,CNR9307908970,Success,CUS74407,Cab Economy,Amer,Jagatpura,2.24,6.03,0,0,0,,1427,1.74,3.79,3.96,Credit Card
2026-01-19,17:57:54,CNR9130174902,Success,CUS48125,Auto,Ghat Gate,Khatipura,10.97,5.42,0,0,0,,254,15.47,3.94,4.66,Credit Card
2026-01-13,04:43:29,CNR6035217455,Incomplete,CUS83558,Bike,Brahmpuri,Subhash Chowk,,,0,0,1,Vehicle Breakdown,902,,,,Debit Card
2026-01-11,11:53:34,CNR4351761569,Success,CUS28789,Cab XL,Jagatpura,Triveni Nagar,5.01,3.54,0,0,0,,327,9.95,3.98,4.83,Wallet
2026-01-04,16:46:15,CNR8572773283,Success,CUS60304,Cab Priority,Chandpole,Vidhyadhar Nagar,4.54,12.65,0,0,0,,193,13.68,3.68,3.99,Net Banking
2026-01-31,18:07:47,CNR7009190130,Success,CUS40253,Cab XL,Bani Park,Jawahar Nagar,3.64,10.27,0,0,0,,483,5.19,4.76,4.32,UPI
2026-01-26,17:06:23,CNR9444871760,Success,CUS71197,Cab XL,Ramganj,Durgapura,8.88,12.89,0,0,0,,386,15.61,4.5,4.64,Net Banking
2026-01-04,23:14:18,CNR1237007306,Success,CUS56646,Auto,Mansarovar,Chitrakoot,7.71,13.62,0,0,0,,619,14.85,4.89,4.94,Net Banking
2026-01-14,06:57:56,CNR3003304737,Success,CUS25562,Bike,Nirman Nagar,Barkat Nagar,2.66,13.99,0,0,0,,474,13.63,3.57,4.7,Net Banking
2026-01-21,14:27:39,CNR1631235772,Cancelled by Driver,CUS57298,Cab Priority,Vaishali Nagar,Transport Nagar,,,0,1,0,,434,,,,Credit Card
2026-01-04,16:43:31,CNR9419036781,Success,CUS67853,Cab Economy,Transport Nagar,Malviya Nagar,8.89,7.05,0,0,0,,90,16.56,4.85,3.87,Wallet
2026-01-27,10:44:53,CNR4001398167,Success,CUS36140,Bike,Tonk Road,JLN Marg,7.43,8.64,0,0,0,,392,2.7,4.36,4.28,Wallet
2026-01-25,08:39:35,CNR4737900868,Success,CUS91158,Cab Premium,Civil Lines,Durgapura,7.14,7.6,0,0,0,,400,11.06,4.48,3.72,Credit Card
2026-01-18,13:52:04,CNR2222165398,Success,CUS43223,Cab XL,Sawai Ram Singh Road,Triveni Nagar,4.38,6.88,0,0,0,,288,15.83,4.08,3.69,Net Banking
2026-01-07,20:11:20,CNR1937847723,Success,CUS30754,Cab Priority,Chitrakoot,Tilak Nagar,3.79,6.19,0,0,0,,102,13.09,3.61,4.07,Wallet
2026-01-30,06:55:46,CNR2081954998,Success,CUS39112,Cab Economy,Kukas,Murlipura,4.34,4.9,0,0,0,,155,14.23,4.46,4.44,Credit Card
2026-01-20,02:04:31,CNR8362988160,Success,CUS35171,Cab Economy,Mahesh Nagar,Adarsh Nagar,5.31,3.65,0,0,0,,136,16.65,4.19,3.74,Debit Card
2026-01-29,19:32:08,CNR9909751854,Cancelled by Driver,CUS59363,Bike,Narayan Singh Circle,Malviya Nagar,,,0,1,0,,936,,,,Debit Card
2026-01-31,07:59:12,CNR7058691639,Cancelled by Customer,CUS34220,Bike,Shyam Nagar,Kukas,,,1,0,0,,713,,,,Debit Card
2026-01-03,16:17:44,CNR1013953203,Cancelled by Driver,CUS56130,Auto,Vaishali Nagar,Ajmer Road,,,0,1,0,,405,,,,Debit Card
2026-01-29,13:52:06,CNR1732012753,Success,CUS33803,Cab XL,Lal Kothi,Triveni Nagar,9.78,11.37,0,0,0,,95,11.35,3.85,3.58,Net Banking
2026-01-05,07:29:36,CNR5856936712,Cancelled by Customer,CUS18290,Cab XL,Raja Park,Kalwar Road,,,1,0,0,,379,,,,Cash
2026-01-18,06:54:52,CNR2391638852,Success,CUS37347,Bike,Ghat Gate,Bapu Nagar,5.52,5.83,0,0,0,,272,16.23,3.52,3.59,Cash
2026-01-10,03:56:37,CNR5055960720,Success,CUS50948,Cab XL,Durgapura,Chandpole,2.54,6.41,0,0,0,,407,11.15,4.27,4.35,Net Banking
2026-01-31,03:06:26,CNR6699254112,Success,CUS96600,Cab Economy,JLN Marg,MI Road,6.83,6.27,0,0,0,,199,9.91,4.2,3.79,Cash
2026-01-08,22:43:59,CNR8368786608,Cancelled by Driver,CUS56568,Cab Priority,Govindpuri,Subhash Chowk,,,0,1,0,,379,,,,Debit Card
2026-01-12,21:18:36,CNR2240664907,Cancelled by Driver,CUS99814,Bike,Adarsh Nagar,Sitapura,,,0,1,0,,150,,,,Debit Card
2026-01-15,08:15:28,CNR7298030054,Success,CUS11708,Cab Priority,Transport Nagar,Shyam Nagar,9.04,13.9,0,0,0,,313,8.06,4.91,3.6,Debit Card
2026-01-09,14:58:07,CNR5862087301,Success,CUS57210,Auto,Malviya Nagar,Durgapura,8.79,6.94,0,0,0,,388,12.17,3.94,4.99,Debit Card
2026-01-30,05:22:46,CNR9973180754,Success,CUS16835,Auto,Transport Nagar,Transport Nagar,10.2,9.36,0,0,0,,93,8.08,4.59,3.8,Debit Card
2026-01-18,08:48:05,CNR3013215510,Cancelled by Driver,CUS64114,Cab Economy,Hasanpura,Triveni Nagar,,,0,1,0,,382,,,,UPI
2026-01-08,14:13:53,CNR2073654985,Cancelled by Customer,CUS99835,Auto,C-Scheme,JLN Marg,,,1,0,0,,281,,,,Cash
2026-01-25,13:07:43,CNR6859320111,Success,CUS77667,Cab Economy,Govindpuri,Tonk Road,6.77,6.66,0,0,0,,278,6.18,3.8,4.42,UPI
2026-01-02,12:00:23,CNR9523364345,Success,CUS76399,Cab Premium,Mansarovar,Shastri Nagar,9.44,7.86,0,0,0,,313,14.94,4.57,3.7,Credit Card
2026-01-12,16:53:38,CNR9714138445,Success,CUS94401,Auto,Malviya Nagar,Subhash Chowk,5.72,3.48,0,0,0,,139,11.75,4.7,3.88,Credit Card
2026-01-31,08:08:29,CNR2811128526,Success,CUS46426,Cab Priority,Nirman Nagar,Sawai Ram Singh Road,6.66,8.98,0,0,0,,655,7.64,4.79,3.68,UPI
2026-01-07,20:58:20,CNR7180387172,Success,CUS33076,Auto,Khatipura,Pratap Nagar,5.65,12.46,0,0,0,,365,11.7,4.28,4.7,Credit Card
2026-01-26,17:45:30,CNR4585851957,Success,CUS10804,Cab XL,Murlipura,Vaishali Nagar,8.43,10.82,0,0,0,,192,3.72,3.6,4.94,Net Banking
2026-01-21,11:29:54,CNR4675540656,Cancelled by Customer,CUS29168,Cab Priority,Sitapura,Tilak Nagar,,,1,0,0,,360,,,,Credit Card
2026-01-04,16:25:29,CNR2380152365,Success,CUS16494,Cab Premium,Sitapura,Vaishali Nagar,7.36,13.06,0,0,0,,134,8.77,4.95,4.37,Cash
2026-01-21,11:10:31,CNR6159785216,Incomplete,CUS44999,Cab XL,MI Road,Govindpuri,,,0,0,1,Customer Demand,106,,,,UPI
2026-01-10,07:47:50,CNR9308788084,Success,CUS26208,Cab Priority,Mansarovar,Sindhi Camp,9.55,10.27,0,0,0,,487,7.42,3.62,4.88,Cash
2026-01-27,05:26:47,CNR7374779127,Incomplete,CUS71591,Cab XL,Civil Lines,Govindpuri,,,0,0,1,Customer Demand,460,,,,UPI
2026-01-18,03:10:32,CNR3885875715,Cancelled by Driver,CUS79807,Cab Premium,Civil Lines,Durgapura,,,0,1,0,,413,,,,Wallet
2026-01-08,22:21:52,CNR3600020537,Success,CUS17994,Auto,Amer,Tilak Nagar,9.71,3.32,0,0,0,,117,15.02,4.65,4.0,Net Banking
2026-01-17,20:00:36,CNR5773817768,Success,CUS46769,Cab XL,C-Scheme,Sanganer,10.88,5.89,0,0,0,,296,6.24,4.06,3.65,Net Banking
2026-01-10,20:20:31,CNR4623680689,Cancelled by Customer,CUS78267,Cab Premium,Tilak Nagar,Mansarovar,,,1,0,0,,458,,,,Credit Card
2026-01-24,17:51:27,CNR3654462275,Cancelled by Driver,CUS22145,Cab Economy,Govindpuri,Durgapura,,,0,1,0,,317,,,,UPI
2026-01-25,03:18:37,CNR5133934705,Success,CUS16955,Auto,Jhotwara,Pratap Nagar,3.08,3.16,0,0,0,,125,17.43,4.58,4.22,Cash
2026-01-22,07:43:26,CNR1336223135,Cancelled by Driver,CUS73089,Cab Priority,Durgapura,Ramganj,,,0,1,0,,404,,,,Debit Card
2026-01-18,00:06:14,CNR1539192132,Success,CUS29092,Cab Premium,Jawahar Nagar,Mahesh Nagar,2.79,8.19,0,0,0,,90,14.24,4.74,4.32,Wallet
2026-01-24,02:19:53,CNR4592427837,Incomplete,CUS67308,Auto,Adarsh Nagar,Ghat Gate,,,0,0,1,Other Issue,260,,,,UPI
2026-01-20,12:08:53,CNR4359091623,Success,CUS13908,Bike,MI Road,Khatipura,8.92,5.3,0,0,0,,932,11.18,3.89,3.5,Wallet
2026-01-10,19:24:47,CNR4898214966,Incomplete,CUS11766,Cab Premium,Hasanpura,Tilak Nagar,,,0,0,1,Vehicle Breakdown,296,,,,Debit Card
2026-01-10,09:41:22,CNR2399962307,Success,CUS99528,Cab Priority,Adarsh Nagar,Vidhyadhar Nagar,6.73,5.11,0,0,0,,149,15.24,3.94,4.47,Net Banking
2026-01-25,15:22:48,CNR9712979202,Cancelled by Driver,CUS35226,Bike,Sindhi Camp,Ajmer Road,,,0,1,0,,516,,,,Wallet
2026-01-26,17:43:49,CNR4701715828,Success,CUS31386,Cab XL,Raja Park,MI Road,2.2,12.37,0,0,0,,326,14.96,4.02,3.93,Debit Card
2026-01-22,16:39:56,CNR9043307991,Success,CUS43254,Cab Premium,Barkat Nagar,Patrakar Colony,10.8,11.66,0,0,0,,362,2.66,4.59,3.67,Debit Card
2026-01-11,08:21:00,CNR4087348089,Success,CUS16976,Cab Priority,Sitapura,Hasanpura,5.87,12.27,0,0,0,,186,4.04,4.57,3.88,Net Banking
2026-01-17,10:48:24,CNR3740853635,Success,CUS41442,Cab Economy,Chandpole,Ramganj,3.28,6.67,0,0,0,,359,11.47,4.61,4.56,Credit Card
2026-01-09,03:16:03,CNR4965567507,Incomplete,CUS10320,Cab Economy,Sitapura,Tilak Nagar,,,0,0,1,Other Issue,359,,,,UPI
2026-01-15,19:17:27,CNR6090151590,Success,CUS78345,Cab Priority,Sanganer,Ramganj,8.84,4.38,0,0,0,,249,12.91,4.04,4.17,UPI
2026-01-13,02:48:38,CNR5556430337,Incomplete,CUS72321,Bike,Ramganj,Chitrakoot,,,0,0,1,Other Issue,366,,,,Cash
2026-01-22,03:18:47,CNR2584471004,Success,CUS69882,Cab Priority,Barkat Nagar,Kalwar Road,6.34,13.97,0,0,0,,269,11.02,3.6,4.55,Credit Card
2026-01-08,22:34:30,CNR2172455415,Success,CUS99641,Cab Priority,Bani Park,Kukas,11.51,6.3,0,0,0,,408,2.24,4.91,4.09,UPI
2026-01-07,05:00:05,CNR6699070542,Success,CUS72642,Auto,Tonk Road,Civil Lines,5.85,14.59,0,0,0,,681,17.76,4.71,3.98,UPI
2026-01-23,09:48:25,CNR6957756398,Cancelled by Customer,CUS49070,Cab Priority,Shyam Nagar,Jhotwara,,,1,0,0,,444,,,,Cash
2026-01-08,04:36:24,CNR5666218898,Success,CUS69005,Cab Premium,Durgapura,Mansarovar,11.54,12.63,0,0,0,,887,3.48,3.75,4.55,Debit Card
2026-01-05,10:19:02,CNR2475813293,Success,CUS19159,Cab Economy,Nirman Nagar,Jawahar Nagar,10.77,7.02,0,0,0,,1490,16.95,4.98,3.53,Wallet
2026-01-19,23:28:41,CNR5011499598,Success,CUS91426,Cab Economy,Barkat Nagar,Ajmer Road,11.52,5.73,0,0,0,,969,1.63,4.9,4.11,Credit Card
2026-01-09,23:31:55,CNR9712262703,Success,CUS23184,Bike,Nirman Nagar,Vidhyadhar Nagar,2.45,9.21,0,0,0,,532,12.24,3.97,3.93,UPI
2026-01-18,06:51:39,CNR3591865725,Cancelled by Customer,CUS53771,Cab Economy,Nirman Nagar,Bapu Nagar,,,1,0,0,,985,,,,Wallet
2026-01-28,13:55:48,CNR3405919749,Cancelled by Driver,CUS38378,Auto,Pratap Nagar,Jagatpura,,,0,1,0,,528,,,,Debit Card
2026-01-31,16:24:32,CNR7697823511,Incomplete,CUS21381,Cab XL,Jhotwara,VKI Area,,,0,0,1,Customer Demand,382,,,,Debit Card
2026-01-13,20:02:09,CNR3793647922,Cancelled by Customer,CUS41904,Cab Premium,Bapu Nagar,Lal Kothi,,,1,0,0,,339,,,,Wallet
2026-01-11,00:18:54,CNR4507462594,Cancelled by Driver,CUS17410,Cab Economy,Sanganer,Kalwar Road,,,0,1,0,,455,,,,Cash
2026-01-31,23:42:06,CNR5702126975,Success,CUS62277,Auto,Brahmpuri,Hasanpura,9.78,13.81,0,0,0,,988,10.27,4.75,4.83,Credit Card
2026-01-04,07:44:38,CNR3173728671,Success,CUS74407,Cab Priority,Bani Park,Durgapura,10.14,4.92,0,0,0,,349,10.17,3.6,4.43,Debit Card
2026-01-21,23:12:24,CNR1832228686,Cancelled by Customer,CUS69994,Cab Premium,JLN Marg,JLN Marg,,,1,0,0,,365,,,,UPI
2026-01-21,21:00:10,CNR1146489401,Success,CUS42240,Auto,Durgapura,Vaishali Nagar,5.73,4.45,0,0,0,,144,13.83,4.32,4.82,Credit Card
2026-01-01,03:34:41,CNR3354895860,Success,CUS26916,Bike,Vaishali Nagar,Sawai Ram Singh Road,8.82,11.81,0,0,0,,712,5.19,4.53,3.82,Cash
2026-01-14,20:03:31,CNR4229860314,Incomplete,CUS45630,Cab XL,Patrakar Colony,Brahmpuri,,,0,0,1,Other Issue,228,,,,Credit Card
2026-01-04,04:56:07,CNR5298050440,Success,CUS54137,Bike,Murlipura,Kalwar Road,4.55,14.95,0,0,0,,967,4.47,3.6,3.69,Credit Card
2026-01-17,06:41:30,CNR8028485594,Success,CUS59146,Auto,Gopalpura,Kukas,2.93,8.27,0,0,0,,415,4.62,4.13,4.32,Net Banking
2026-01-27,23:00:29,CNR4772051236,Success,CUS77182,Cab XL,Ghat Gate,Bani Park,4.23,12.44,0,0,0,,315,10.06,3.82,4.07,Debit Card
2026-01-09,22:48:55,CNR2370500713,Success,CUS88595,Cab Premium,Sindhi Camp,MI Road,8.43,13.28,0,0,0,,451,3.87,4.18,4.85,Debit Card
2026-01-02,03:06:05,CNR6741084492,Incomplete,CUS69038,Auto,Tonk Road,Jhotwara,,,0,0,1,Other Issue,622,,,,Cash
2026-01-16,09:42:10,CNR5295167535,Cancelled by Customer,CUS50416,Auto,Patrakar Colony,Shastri Nagar,,,1,0,0,,588,,,,Wallet
2026-01-19,14:04:42,CNR9612332947,Success,CUS76354,Auto,C-Scheme,Civil Lines,6.92,10.93,0,0,0,,399,16.24,3.69,3.72,Wallet
2026-01-22,08:52:01,CNR3595529485,Success,CUS81045,Cab Priority,Ajmer Road,Lal Kothi,10.57,3.23,0,0,0,,789,16.45,3.74,4.39,UPI
2026-01-06,00:21:01,CNR9222115588,Success,CUS78580,Cab XL,Kalwar Road,JLN Marg,5.26,4.28,0,0,0,,552,11.33,4.33,4.12,Cash
2026-01-09,09:24:58,CNR2565246107,Cancelled by Driver,CUS82793,Cab Economy,Lal Kothi,Chitrakoot,,,0,1,0,,905,,,,Cash
2026-01-13,18:37:16,CNR5278237617,Cancelled by Driver,CUS85093,Cab Priority,JLN Marg,Barkat Nagar,,,0,1,0,,625,,,,Net Banking
2026-01-13,20:09:14,CNR3817781305,Success,CUS20806,Auto,Kukas,Lal Kothi,5.25,3.55,0,0,0,,823,3.98,4.36,4.64,Net Banking
2026-01-12,18:16:45,CNR2431876801,Success,CUS23633,Cab Premium,Jawahar Nagar,Govindpuri,3.92,12.82,0,0,0,,462,2.88,4.87,3.72,Wallet
2026-01-22,11:40:54,CNR5400419048,Incomplete,CUS43300,Cab Economy,Civil Lines,Patrakar Colony,,,0,0,1,Customer Demand,327,,,,Credit Card
2026-01-10,02:33:07,CNR6022153974,Success,CUS21432,Cab Economy,Gopalpura,Nirman Nagar,2.7,7.45,0,0,0,,981,8.82,4.49,4.67,Net Banking
2026-01-19,20:48:04,CNR3893840950,Success,CUS23491,Cab Priority,Sawai Ram Singh Road,JLN Marg,7.19,12.53,0,0,0,,765,3.19,3.74,4.51,Cash
2026-01-01,16:43:26,CNR6048093133,Incomplete,CUS86362,Cab Premium,Ajmer Road,JLN Marg,,,0,0,1,Customer Demand,697,,,,UPI
2026-01-03,05:18:23,CNR7723900592,Success,CUS82219,Cab Economy,Malviya Nagar,Bani Park,3.95,12.02,0,0,0,,955,3.3,4.43,4.21,Credit Card
2026-01-18,08:28:58,CNR7672703922,Incomplete,CUS34333,Cab Economy,Pratap Nagar,Shastri Nagar,,,0,0,1,Other Issue,499,,,,Cash
2026-01-29,20:59:19,CNR6373412317,Cancelled by Driver,CUS85688,Cab Economy,Shyam Nagar,Hasanpura,,,0,1,0,,265,,,,Credit Card
2026-01-18,23:36:50,CNR6665186816,Cancelled by Customer,CUS13076,Auto,Kalwar Road,Barkat Nagar,,,1,0,0,,997,,,,Cash
2026-01-25,07:45:08,CNR3048383367,Cancelled by Driver,CUS22987,Cab XL,JLN Marg,Ghat Gate,,,0,1,0,,170,,,,UPI
2026-01-23,04:26:47,CNR7579826434,Incomplete,CUS37009,Cab Priority,Tonk Road,VKI Area,,,0,0,1,Other Issue,461,,,,Cash
2026-01-13,23:41:56,CNR4502300134,Success,CUS37172,Cab Premium,Brahmpuri,Raja Park,9.98,4.56,0,0,0,,358,13.64,3.93,4.98,Credit Card
2026-01-17,15:47:46,CNR9879730279,Success,CUS81149,Cab Premium,Tilak Nagar,VKI Area,9.06,4.6,0,0,0,,105,11.67,3.91,4.87,Cash
2026-01-18,14:32:55,CNR5069039891,Success,CUS54183,Auto,Sanganer,Mahesh Nagar,3.52,3.33,0,0,0,,271,3.83,3.57,3.63,Cash
2026-01-24,16:16:12,CNR1086372354,Incomplete,CUS37204,Cab Premium,Jhotwara,Murlipura,,,0,0,1,Other Issue,586,,,,Cash
2026-01-16,20:05:17,CNR4304501434,Cancelled by Customer,CUS61358,Cab Priority,Mansarovar,Govindpuri,,,1,0,0,,941,,,,Credit Card
2026-01-29,12:58:55,CNR3615160180,Success,CUS23964,Cab Priority,Malviya Nagar,Tonk Road,2.73,8.49,0,0,0,,645,6.39,4.69,4.06,Net Banking
2026-01-18,12:47:54,CNR8542454490,Success,CUS65096,Cab Premium,Ajmer Road,Shastri Nagar,7.98,7.56,0,0,0,,438,2.63,4.8,4.84,UPI
2026-01-26,13:49:34,CNR5096748145,Cancelled by Driver,CUS82284,Cab Priority,Sanganer,Sitapura,,,0,1,0,,470,,,,Wallet
2026-01-30,10:52:39,CNR5280270383,Success,CUS78914,Auto,MI Road,Hasanpura,5.26,3.54,0,0,0,,420,3.55,4.46,3.54,Net Banking
2026-01-23,21:51:12,CNR8585422816,Success,CUS72868,Bike,Sawai Ram Singh Road,Triveni Nagar,9.02,11.48,0,0,0,,175,5.95,3.9,3.59,Wallet
2026-01-24,20:12:29,CNR6565518934,Cancelled by Driver,CUS62935,Bike,Chitrakoot,Mansarovar,,,0,1,0,,147,,,,UPI
2026-01-24,18:04:31,CNR1559104749,Success,CUS40371,Auto,Raja Park,Patrakar Colony,3.17,14.37,0,0,0,,688,2.11,3.62,4.31,UPI
2026-01-15,06:36:26,CNR8749269503,Incomplete,CUS82201,Cab XL,Bapu Nagar,JLN Marg,,,0,0,1,Vehicle Breakdown,502,,,,Wallet
2026-01-11,01:41:29,CNR1097485671,Success,CUS30386,Cab Economy,Khatipura,Jawahar Nagar,11.34,7.14,0,0,0,,301,15.14,4.66,4.41,Credit Card
2026-01-09,20:46:21,CNR5931398902,Success,CUS50780,Cab Premium,Sodala,Ajmer Road,7.44,5.51,0,0,0,,900,9.72,4.76,4.56,Cash
2026-01-21,12:53:05,CNR7378639668,Incomplete,CUS14234,Bike,VKI Area,Vidhyadhar Nagar,,,0,0,1,Customer Demand,216,,,,Net Banking
2026-01-01,12:38:48,CNR2026090171,Success,CUS77178,Cab Priority,Lal Kothi,Jawahar Nagar,10.84,8.07,0,0,0,,936,12.58,4.09,3.98,Cash
2026-01-07,03:08:12,CNR3363762605,Success,CUS86317,Cab Priority,Jawahar Nagar,Transport Nagar,6.76,6.86,0,0,0,,109,12.32,4.13,4.11,Wallet
2026-01-04,11:51:26,CNR2352734017,Success,CUS89932,Cab Priority,Kalwar Road,Subhash Chowk,9.33,11.73,0,0,0,,323,17.6,5.0,4.52,Net Banking
2026-01-21,15:29:18,CNR7362734209,Success,CUS23968,Auto,Sanganer,Chandpole,6.29,7.16,0,0,0,,446,10.33,4.24,4.21,UPI
2026-01-26,00:46:57,CNR5425821030,Incomplete,CUS18343,Cab Economy,Govindpuri,Amer,,,0,0,1,Customer Demand,226,,,,Credit Card
2026-01-01,20:50:43,CNR8060895749,Success,CUS31181,Cab Priority,Jagatpura,Adarsh Nagar,10.53,12.47,0,0,0,,105,4.33,4.14,3.96,UPI
2026-01-25,04:12:28,CNR1078342864,Cancelled by Driver,CUS49647,Cab Premium,Chitrakoot,JLN Marg,,,0,1,0,,156,,,,UPI
2026-01-29,10:52:06,CNR7757901014,Success,CUS58026,Cab XL,Barkat Nagar,Subhash Chowk,9.15,9.6,0,0,0,,595,6.61,4.05,4.26,UPI
2026-01-13,13:12:48,CNR6656744395,Success,CUS81548,Cab XL,Malviya Nagar,Kalwar Road,3.8,8.86,0,0,0,,411,6.87,4.51,4.43,Net Banking
2026-01-08,06:02:37,CNR5844413206,Incomplete,CUS23471,Auto,Durgapura,Vaishali Nagar,,,0,0,1,Vehicle Breakdown,143,,,,Debit Card
2026-01-03,01:36:46,CNR5050413054,Cancelled by Driver,CUS92185,Cab Priority,Mahesh Nagar,Vidhyadhar Nagar,,,0,1,0,,161,,,,Net Banking
2026-01-17,21:20:00,CNR2603903261,Success,CUS85092,Cab Priority,Ramganj,Bani Park,2.17,10.69,0,0,0,,294,11.08,4.89,3.54,Cash
2026-01-19,08:24:41,CNR6145918143,Success,CUS57229,Cab Economy,Chitrakoot,Vidhyadhar Nagar,6.97,8.09,0,0,0,,464,16.5,4.91,3.54,Net Banking
2026-01-29,12:07:44,CNR6233753290,Cancelled by Customer,CUS30279,Cab XL,Sindhi Camp,Ramganj,,,1,0,0,,678,,,,Debit Card
2026-01-25,08:16:54,CNR1573009453,Success,CUS94578,Cab Priority,JLN Marg,Amer,2.88,7.81,0,0,0,,189,8.05,4.89,4.24,Debit Card
2026-01-26,16:38:45,CNR3085802000,Cancelled by Driver,CUS47600,Cab Premium,Brahmpuri,Transport Nagar,,,0,1,0,,782,,,,Wallet
2026-01-10,14:47:50,CNR7720895608,Success,CUS23381,Auto,Kalwar Road,Pratap Nagar,11.99,3.75,0,0,0,,123,3.67,4.65,4.51,Cash
2026-01-06,02:29:59,CNR6092465652,Success,CUS41187,Cab Premium,Durgapura,Govindpuri,2.73,5.14,0,0,0,,336,8.37,4.39,4.63,Net Banking
2026-01-17,00:13:31,CNR6660164874,Incomplete,CUS92353,Auto,Pratap Nagar,Jhotwara,,,0,0,1,Customer Demand,826,,,,UPI
2026-01-06,20:41:04,CNR3785506754,Success,CUS41216,Cab XL,Chitrakoot,Murlipura,9.43,12.5,0,0,0,,409,9.47,4.4,3.58,Cash
2026-01-02,11:12:28,CNR6027774777,Cancelled by Driver,CUS15464,Cab XL,Pratap Nagar,Amer,,,0,1,0,,116,,,,Cash
2026-01-28,20:20:54,CNR5343010456,Success,CUS11594,Auto,Khatipura,Mahesh Nagar,5.05,6.29,0,0,0,,761,9.1,4.87,3.56,UPI
2026-01-07,14:17:27,CNR8059783258,Cancelled by Customer,CUS42543,Cab Economy,Kukas,Triveni Nagar,,,1,0,0,,488,,,,Credit Card
2026-01-22,10:51:25,CNR3931515158,Incomplete,CUS40975,Cab XL,Jawahar Nagar,Barkat Nagar,,,0,0,1,Customer Demand,311,,,,Wallet
